date,site,parameter,index_value,description,health_advisory,health_effects
2016-01-07,North Braddock,PM10B,64,Moderate,Unusually sensitive people should consider reducing prolonged or heavy exertion.,"Respiratory symptoms possible in unusually sensitive individuals, possible aggravation of heart or lung disease in people with cardiopulmonary disease and older adults."
2016-01-07,Lawrenceville 2,SO2,9,Good,,
2016-01-07,Flag Plaza,CO,0,Good,,
2016-01-07,Harrison Township,OZONE,14,Good,,
2016-01-07,Lawrenceville,PM25B,72,Moderate,Unusually sensitive people should consider reducing prolonged or heavy exertion.,"Respiratory symptoms possible in unusually sensitive individuals, possible aggravation of heart or lung disease in people with cardiopulmonary disease and older adults."
2016-01-07,Avalon,SO2,4,Good,,
2016-01-07,North Braddock,SO2,37,Good,,
2016-01-07,Harrison Township,NO2,35,Good,,
2016-01-07,Liberty,SO2,31,Good,,
2016-01-07,South Fayette,SO2,9,Good,,
2016-01-07,Lawrenceville 2,CO,10,Good,,
2016-01-07,Lincoln,PM10,72,Moderate,Unusually sensitive people should consider reducing prolonged or heavy exertion.,"Respiratory symptoms possible in unusually sensitive individuals, possible aggravation of heart or lung disease in people with cardiopulmonary disease and older adults."
2016-01-08,Harrison Township,NO2,24,Good,,
2016-01-08,Parkway East,NO2,33,Good,,
2016-01-08,North Braddock,SO2,11,Good,,
2016-01-08,Flag Plaza,CO,0,Good,,
2016-01-08,Parkway East,PM25T,63,Moderate,Unusually sensitive people should consider reducing prolonged or heavy exertion.,"Respiratory symptoms possible in unusually sensitive individuals, possible aggravation of heart or lung disease in people with cardiopulmonary disease and older adults."
2016-01-08,Lawrenceville 2,SO2,5,Good,,
2016-01-08,Flag Plaza,PM10,50,Good,,
2016-01-08,Glassport High Street,PM10,32,Good,,
2016-01-08,Lincoln,PM25,89,Moderate,Unusually sensitive people should consider reducing prolonged or heavy exertion.,"Respiratory symptoms possible in unusually sensitive individuals, possible aggravation of heart or lung disease in people with cardiopulmonary disease and older adults."
2016-01-08,South Fayette,SO2,11,Good,,
2016-01-08,Liberty 2,PM25(2),69,Moderate,Unusually sensitive people should consider reducing prolonged or heavy exertion.,"Respiratory symptoms possible in unusually sensitive individuals, possible aggravation of heart or lung disease in people with cardiopulmonary disease and older adults."
2016-01-08,Lawrenceville 2,CO,10,Good,,
2016-01-08,Harrison Township,OZONE,9,Good,,
2016-01-08,Lawrenceville,OZONE,0,Good,,
2016-01-08,Liberty 2,PM10,35,Good,,
2016-01-08,Parkway East,CO,10,Good,,
2016-01-08,North Braddock,PM10B,63,Moderate,Unusually sensitive people should consider reducing prolonged or heavy exertion.,"Respiratory symptoms possible in unusually sensitive individuals, possible aggravation of heart or lung disease in people with cardiopulmonary disease and older adults."
2016-01-08,Lawrenceville,PM25B,74,Moderate,Unusually sensitive people should consider reducing prolonged or heavy exertion.,"Respiratory symptoms possible in unusually sensitive individuals, possible aggravation of heart or lung disease in people with cardiopulmonary disease and older adults."
2016-01-08,Avalon,SO2,4,Good,,
2016-01-08,Liberty,SO2,13,Good,,
2016-01-08,Lincoln,PM10,65,Moderate,Unusually sensitive people should consider reducing prolonged or heavy exertion.,"Respiratory symptoms possible in unusually sensitive individuals, possible aggravation of heart or lung disease in people with cardiopulmonary disease and older adults."
2016-01-09,Harrison Township,NO2,25,Good,,
2016-01-09,Lincoln,PM25,36,Good,,
2016-01-09,Parkway East,PM25T,34,Good,,
2016-01-09,North Braddock,SO2,7,Good,,
2016-01-09,Liberty,SO2,26,Good,,
2016-01-09,South Fayette,SO2,0,Good,,
2016-01-09,Flag Plaza,CO,0,Good,,
2016-01-09,Lawrenceville 2,SO2,3,Good,,
2016-01-09,North Braddock,PM10B,56,Moderate,Unusually sensitive people should consider reducing prolonged or heavy exertion.,"Respiratory symptoms possible in unusually sensitive individuals, possible aggravation of heart or lung disease in people with cardiopulmonary disease and older adults."
2016-01-09,Lawrenceville,PM25B,44,Good,,
2016-01-09,Lawrenceville 2,CO,9,Good,,
2016-01-09,Parkway East,NO2,25,Good,,
2016-01-09,Lawrenceville,OZONE,18,Good,,
2016-01-09,Liberty 2,PM10,25,Good,,
2016-01-09,Glassport High Street,PM10,36,Good,,
2016-01-09,Lincoln,PM10,52,Moderate,Unusually sensitive people should consider reducing prolonged or heavy exertion.,"Respiratory symptoms possible in unusually sensitive individuals, possible aggravation of heart or lung disease in people with cardiopulmonary disease and older adults."
2016-01-09,Parkway East,CO,7,Good,,
2016-01-09,Harrison Township,OZONE,22,Good,,
2016-01-09,Flag Plaza,PM10,36,Good,,
2016-01-09,Avalon,SO2,1,Good,,
2016-01-09,Liberty 2,PM25(2),53,Moderate,Unusually sensitive people should consider reducing prolonged or heavy exertion.,"Respiratory symptoms possible in unusually sensitive individuals, possible aggravation of heart or lung disease in people with cardiopulmonary disease and older adults."
2016-01-10,Harrison Township,NO2,10,Good,,
2016-01-10,Parkway East,NO2,9,Good,,
2016-01-10,North Braddock,SO2,3,Good,,
2016-01-10,Flag Plaza,CO,0,Good,,
2016-01-10,Liberty 2,PM25(2),16,Good,,
2016-01-10,Lawrenceville 2,SO2,1,Good,,
2016-01-10,Lawrenceville,PM25B,16,Good,,
2016-01-10,Parkway East,PM25T,6,Good,,
2016-01-10,Liberty,SO2,6,Good,,
2016-01-10,Lawrenceville 2,CO,3,Good,,
2016-01-10,Liberty 2,PM10,11,Good,,
2016-01-10,Lincoln,PM10,10,Good,,
2016-01-10,Lincoln,PM25,21,Good,,
2016-01-10,Parkway East,CO,3,Good,,
2016-01-10,Harrison Township,OZONE,28,Good,,
2016-01-10,Flag Plaza,PM10,6,Good,,
2016-01-10,Avalon,SO2,0,Good,,
2016-01-10,Lawrenceville,OZONE,25,Good,,
2016-01-10,Glassport High Street,PM10,17,Good,,
2016-01-10,North Braddock,PM10B,23,Good,,
2016-01-10,South Fayette,SO2,0,Good,,
2016-01-11,Lawrenceville,OZONE,24,Good,,
2016-01-11,Glassport High Street,PM10,6,Good,,
2016-01-11,Lawrenceville,PM25B,35,Good,,
2016-01-11,Lawrenceville 2,CO,2,Good,,
2016-01-11,Parkway East,NO2,16,Good,,
2016-01-11,Liberty 2,PM10,6,Good,,
2016-01-11,Lincoln,PM10,15,Good,,
2016-01-11,Flag Plaza,CO,0,Good,,
2016-01-11,Lawrenceville 2,SO2,3,Good,,
2016-01-11,North Braddock,PM10B,12,Good,,
2016-01-11,Parkway East,PM25T,31,Good,,
2016-01-11,Liberty,SO2,9,Good,,
2016-01-11,Harrison Township,NO2,15,Good,,
2016-01-11,Liberty 2,PM25(2),27,Good,,
2016-01-11,North Braddock,SO2,6,Good,,
2016-01-11,South Fayette,SO2,3,Good,,
2016-01-11,Parkway East,CO,3,Good,,
2016-01-11,Harrison Township,OZONE,27,Good,,
2016-01-11,Flag Plaza,PM10,11,Good,,
2016-01-11,Lincoln,PM25,38,Good,,
2016-01-11,Avalon,SO2,4,Good,,
2016-01-12,Harrison Township,NO2,18,Good,,
2016-01-12,Parkway East,NO2,15,Good,,
2016-01-12,North Braddock,SO2,19,Good,,
2016-01-12,Liberty 2,PM25(2),43,Good,,
2016-01-12,Lawrenceville 2,SO2,2,Good,,
2016-01-12,Glassport High Street,PM10,6,Good,,
2016-01-12,Lawrenceville 2,CO,2,Good,,
2016-01-12,Lawrenceville,OZONE,27,Good,,
2016-01-12,North Braddock,PM10B,15,Good,,
2016-01-12,Parkway East,CO,4,Good,,
2016-01-12,Flag Plaza,PM10,11,Good,,
2016-01-12,Lincoln,PM25,36,Good,,
2016-01-12,Liberty 2,PM10,9,Good,,
2016-01-12,Lincoln,PM10,15,Good,,
2016-01-12,South Fayette,SO2,0,Good,,
2016-01-12,Flag Plaza,CO,0,Good,,
2016-01-12,Avalon,SO2,1,Good,,
2016-01-12,Liberty,SO2,13,Good,,
2016-01-12,Lawrenceville,PM25B,36,Good,,
2016-01-12,Parkway East,PM25T,36,Good,,
2016-01-13,North Braddock,PM10B,21,Good,,
2016-01-13,Liberty 2,PM25(2),32,Good,,
2016-01-13,Parkway East,PM25T,53,Moderate,Unusually sensitive people should consider reducing prolonged or heavy exertion.,"Respiratory symptoms possible in unusually sensitive individuals, possible aggravation of heart or lung disease in people with cardiopulmonary disease and older adults."
2016-01-13,Lawrenceville 2,SO2,9,Good,,
2016-01-13,South Fayette,SO2,6,Good,,
2016-01-13,Flag Plaza,CO,0,Good,,
2016-01-13,Glassport High Street,PM10,10,Good,,
2016-01-13,Liberty,SO2,9,Good,,
2016-01-13,Harrison Township,NO2,20,Good,,
2016-01-13,Parkway East,NO2,19,Good,,
2016-01-13,North Braddock,SO2,7,Good,,
2016-01-13,Lawrenceville 2,CO,3,Good,,
2016-01-13,Lawrenceville,OZONE,22,Good,,
2016-01-13,Liberty 2,PM10,10,Good,,
2016-01-13,Lincoln,PM10,19,Good,,
2016-01-13,Parkway East,CO,3,Good,,
2016-01-13,Lawrenceville,PM25B,57,Moderate,Unusually sensitive people should consider reducing prolonged or heavy exertion.,"Respiratory symptoms possible in unusually sensitive individuals, possible aggravation of heart or lung disease in people with cardiopulmonary disease and older adults."
2016-01-13,Avalon,SO2,11,Good,,
2016-01-13,Flag Plaza,PM10,13,Good,,
2016-01-13,Lincoln,PM25,46,Good,,
2016-01-14,Harrison Township,NO2,44,Good,,
2016-01-14,Parkway East,NO2,32,Good,,
2016-01-14,North Braddock,SO2,30,Good,,
2016-01-14,Lincoln,PM25,59,Moderate,Unusually sensitive people should consider reducing prolonged or heavy exertion.,"Respiratory symptoms possible in unusually sensitive individuals, possible aggravation of heart or lung disease in people with cardiopulmonary disease and older adults."
2016-01-14,Parkway East,PM25T,54,Moderate,Unusually sensitive people should consider reducing prolonged or heavy exertion.,"Respiratory symptoms possible in unusually sensitive individuals, possible aggravation of heart or lung disease in people with cardiopulmonary disease and older adults."
2016-01-14,Lawrenceville 2,SO2,5,Good,,
2016-01-14,Flag Plaza,CO,0,Good,,
2016-01-14,Lawrenceville,PM25B,51,Moderate,Unusually sensitive people should consider reducing prolonged or heavy exertion.,"Respiratory symptoms possible in unusually sensitive individuals, possible aggravation of heart or lung disease in people with cardiopulmonary disease and older adults."
2016-01-14,Avalon,SO2,4,Good,,
2016-01-14,Liberty,SO2,50,Good,,
2016-01-14,Lincoln,PM10,25,Good,,
2016-01-14,Liberty 2,PM25(2),63,Moderate,Unusually sensitive people should consider reducing prolonged or heavy exertion.,"Respiratory symptoms possible in unusually sensitive individuals, possible aggravation of heart or lung disease in people with cardiopulmonary disease and older adults."
2016-01-14,Flag Plaza,PM10,14,Good,,
2016-01-14,North Braddock,PM10B,34,Good,,
2016-01-14,South Fayette,SO2,4,Good,,
2016-01-14,Parkway East,CO,8,Good,,
2016-01-14,Lawrenceville,OZONE,19,Good,,
2016-01-14,Glassport High Street,PM10,10,Good,,
2016-01-14,Lawrenceville 2,CO,6,Good,,
2016-01-14,Liberty 2,PM10,23,Good,,
2016-01-15,Lawrenceville 2,CO,8,Good,,
2016-01-15,Liberty 2,PM10,39,Good,,
2016-01-15,Flag Plaza,CO,0,Good,,
2016-01-15,Lawrenceville,OZONE,19,Good,,
2016-01-15,Glassport High Street,PM10,23,Good,,
2016-01-15,Liberty,SO2,51,Moderate,,
2016-01-15,Harrison Township,NO2,42,Good,,
2016-01-15,Parkway East,NO2,32,Good,,
2016-01-15,North Braddock,SO2,57,Moderate,,
2016-01-15,Flag Plaza,PM10,23,Good,,
2016-01-15,North Braddock,PM10B,47,Good,,
2016-01-15,Lincoln,PM25,53,Moderate,Unusually sensitive people should consider reducing prolonged or heavy exertion.,"Respiratory symptoms possible in unusually sensitive individuals, possible aggravation of heart or lung disease in people with cardiopulmonary disease and older adults."
2016-01-15,Parkway East,PM25T,52,Moderate,Unusually sensitive people should consider reducing prolonged or heavy exertion.,"Respiratory symptoms possible in unusually sensitive individuals, possible aggravation of heart or lung disease in people with cardiopulmonary disease and older adults."
2016-01-15,Lawrenceville 2,SO2,4,Good,,
2016-01-15,Parkway East,CO,10,Good,,
2016-01-15,Lawrenceville,PM25B,53,Moderate,Unusually sensitive people should consider reducing prolonged or heavy exertion.,"Respiratory symptoms possible in unusually sensitive individuals, possible aggravation of heart or lung disease in people with cardiopulmonary disease and older adults."
2016-01-15,Avalon,SO2,4,Good,,
2016-01-15,Lincoln,PM10,28,Good,,
2016-01-15,Liberty 2,PM25(2),71,Moderate,Unusually sensitive people should consider reducing prolonged or heavy exertion.,"Respiratory symptoms possible in unusually sensitive individuals, possible aggravation of heart or lung disease in people with cardiopulmonary disease and older adults."
2016-01-15,South Fayette,SO2,1,Good,,
2016-01-16,Glassport High Street,PM10,20,Good,,
2016-01-16,Liberty,SO2,1,Good,,
2016-01-16,Lawrenceville 2,SO2,1,Good,,
2016-01-16,Liberty 2,PM10,25,Good,,
2016-01-16,Lawrenceville 2,CO,3,Good,,
2016-01-16,Parkway East,CO,6,Good,,
2016-01-16,Parkway East,NO2,16,Good,,
2016-01-16,Lawrenceville,OZONE,27,Good,,
2016-01-16,Lincoln,PM10,19,Good,,
2016-01-16,South Fayette,SO2,0,Good,,
2016-01-16,Flag Plaza,PM10,20,Good,,
2016-01-16,North Braddock,PM10B,36,Good,,
2016-01-16,Lawrenceville,PM25B,40,Good,,
2016-01-16,Flag Plaza,CO,0,Good,,
2016-01-16,Liberty 2,PM25(2),28,Good,,
2016-01-16,Avalon,SO2,0,Good,,
2016-01-16,Harrison Township,NO2,13,Good,,
2016-01-16,Lincoln,PM25,38,Good,,
2016-01-16,Parkway East,PM25T,34,Good,,
2016-01-16,North Braddock,SO2,1,Good,,
2016-01-17,Flag Plaza,PM10,6,Good,,
2016-01-17,North Braddock,PM10B,11,Good,,
2016-01-17,Parkway East,CO,5,Good,,
2016-01-17,Liberty 2,PM25(2),25,Good,,
2016-01-17,Lawrenceville 2,SO2,2,Good,,
2016-01-17,Lawrenceville 2,CO,2,Good,,
2016-01-17,Harrison Township,NO2,6,Good,,
2016-01-17,Parkway East,NO2,11,Good,,
2016-01-17,Lawrenceville,OZONE,27,Good,,
2016-01-17,Liberty 2,PM10,5,Good,,
2016-01-17,Parkway East,PM25T,31,Good,,
2016-01-17,North Braddock,SO2,1,Good,,
2016-01-17,Glassport High Street,PM10,5,Good,,
2016-01-17,Liberty,SO2,1,Good,,
2016-01-17,Lawrenceville,PM25B,35,Good,,
2016-01-17,Flag Plaza,CO,0,Good,,
2016-01-17,Avalon,SO2,1,Good,,
2016-01-17,Lincoln,PM25,29,Good,,
2016-01-17,Lincoln,PM10,10,Good,,
2016-01-17,South Fayette,SO2,6,Good,,
2016-01-18,Glassport High Street,PM10,6,Good,,
2016-01-18,Parkway East,PM25T,35,Good,,
2016-01-18,Liberty,SO2,1,Good,,
2016-01-18,Flag Plaza,CO,0,Good,,
2016-01-18,Flag Plaza,PM10,17,Good,,
2016-01-18,Liberty 2,PM25(2),25,Good,,
2016-01-18,Avalon,SO2,1,Good,,
2016-01-18,Lawrenceville 2,SO2,1,Good,,
2016-01-18,Harrison Township,NO2,6,Good,,
2016-01-18,Lincoln,PM25,41,Good,,
2016-01-18,North Braddock,SO2,1,Good,,
2016-01-18,North Braddock,PM10B,14,Good,,
2016-01-18,South Fayette,SO2,1,Good,,
2016-01-18,Lawrenceville,PM25B,38,Good,,
2016-01-18,Parkway East,CO,5,Good,,
2016-01-18,Lawrenceville 2,CO,3,Good,,
2016-01-18,Parkway East,NO2,12,Good,,
2016-01-18,Lawrenceville,OZONE,24,Good,,
2016-01-18,Liberty 2,PM10,7,Good,,
2016-01-18,Lincoln,PM10,14,Good,,
2016-01-19,Flag Plaza,CO,0,Good,,
2016-01-19,Lincoln,PM25,45,Good,,
2016-01-19,Avalon,SO2,4,Good,,
2016-01-19,Lawrenceville 2,CO,3,Good,,
2016-01-19,Harrison Township,NO2,26,Good,,
2016-01-19,Parkway East,NO2,27,Good,,
2016-01-19,Liberty 2,PM10,10,Good,,
2016-01-19,North Braddock,SO2,3,Good,,
2016-01-19,Lawrenceville,OZONE,20,Good,,
2016-01-19,Glassport High Street,PM10,8,Good,,
2016-01-19,Parkway East,PM25T,48,Good,,
2016-01-19,Liberty,SO2,3,Good,,
2016-01-19,Parkway East,CO,8,Good,,
2016-01-19,Flag Plaza,PM10,18,Good,,
2016-01-19,Lawrenceville 2,SO2,4,Good,,
2016-01-19,North Braddock,PM10B,22,Good,,
2016-01-19,Lawrenceville,PM25B,43,Good,,
2016-01-19,South Fayette,SO2,3,Good,,
2016-01-19,Lincoln,PM10,17,Good,,
2016-01-19,Liberty 2,PM25(2),32,Good,,
2016-01-20,Lawrenceville,PM25B,66,Moderate,Unusually sensitive people should consider reducing prolonged or heavy exertion.,"Respiratory symptoms possible in unusually sensitive individuals, possible aggravation of heart or lung disease in people with cardiopulmonary disease and older adults."
2016-01-20,Avalon,SO2,6,Good,,
2016-01-20,Liberty,SO2,10,Good,,
2016-01-20,Lawrenceville 2,CO,7,Good,,
2016-01-20,Lawrenceville,OZONE,7,Good,,
2016-01-20,Glassport High Street,PM10,14,Good,,
2016-01-20,Parkway East,CO,8,Good,,
2016-01-20,Parkway East,NO2,29,Good,,
2016-01-20,Liberty 2,PM10,16,Good,,
2016-01-20,Lincoln,PM10,18,Good,,
2016-01-20,North Braddock,PM10B,31,Good,,
2016-01-20,Flag Plaza,CO,0,Good,,
2016-01-20,Liberty 2,PM25(2),51,Moderate,Unusually sensitive people should consider reducing prolonged or heavy exertion.,"Respiratory symptoms possible in unusually sensitive individuals, possible aggravation of heart or lung disease in people with cardiopulmonary disease and older adults."
2016-01-20,Harrison Township,NO2,27,Good,,
2016-01-20,Flag Plaza,PM10,23,Good,,
2016-01-20,Lincoln,PM25,44,Good,,
2016-01-20,Lawrenceville 2,SO2,13,Good,,
2016-01-20,North Braddock,SO2,3,Good,,
2016-01-20,Parkway East,PM25T,64,Moderate,Unusually sensitive people should consider reducing prolonged or heavy exertion.,"Respiratory symptoms possible in unusually sensitive individuals, possible aggravation of heart or lung disease in people with cardiopulmonary disease and older adults."
2016-01-20,South Fayette,SO2,7,Good,,
2016-01-21,Parkway East,CO,9,Good,,
2016-01-21,Glassport High Street,PM10,14,Good,,
2016-01-21,Parkway East,NO2,29,Good,,
2016-01-21,Flag Plaza,PM10,21,Good,,
2016-01-21,Lincoln,PM25,53,Moderate,Unusually sensitive people should consider reducing prolonged or heavy exertion.,"Respiratory symptoms possible in unusually sensitive individuals, possible aggravation of heart or lung disease in people with cardiopulmonary disease and older adults."
2016-01-21,Lawrenceville 2,CO,4,Good,,
2016-01-21,Lawrenceville,OZONE,19,Good,,
2016-01-21,Liberty 2,PM10,14,Good,,
2016-01-21,Flag Plaza,CO,0,Good,,
2016-01-21,Lawrenceville,PM25B,67,Moderate,Unusually sensitive people should consider reducing prolonged or heavy exertion.,"Respiratory symptoms possible in unusually sensitive individuals, possible aggravation of heart or lung disease in people with cardiopulmonary disease and older adults."
2016-01-21,Avalon,SO2,4,Good,,
2016-01-21,Liberty,SO2,4,Good,,
