PK,CCR,HIERARCHY,INCIDENTTIME,INCIDENTLOCATION,CLEAREDFLAG,INCIDENTNEIGHBORHOOD,INCIDENTZONE,INCIDENTHIERARCHYDESC,OFFENSES,INCIDENTTRACT,COUNCIL_DISTRICT,PUBLIC_WORKS_DIVISION,X,Y
292608085,22160448,10,2022-10-03T14:00:00,"300 Block Cedar Ave Pittsburgh, PA 15212",Y,East Allegheny,1,HARRASSMENT/THREAT/ATTEMPT/PHY,"2709(a)(1) Harassment by Physical Contact, or Attempts or Threats",2304,1,1,-80.0009078039902,40.4508935599436
292612971,22160446,6,2022-09-29T22:00:00,"3700 Block 5th Ave Pittsburgh, PA 15213",N,Central Oakland,4,THEFT,3921(a) Theft by Unlawful Taking or Disposition - Movable item,405,3,3,-79.9581445128134,40.441710290394
292614022,22160550,6,2022-10-03T18:45:00,"2900 Block Brownsville Rd Pittsburgh, PA 15210",N,Carrick,3,RETSIL THEFT (SHOPLIFTING),"3929(a)(1) Retail Theft; takes possession of, carries away, or transfers displayed merchandise",2901,4,3,-79.9769380273535,40.3823647433724
293960180,22169303,5,2022-10-19T14:30:00,"1200 Block Liverpool St Pittsburgh, PA 15233",N,Manchester,1,BURGLARY,3502 Burglary. / 3921 Theft by Unlawful Taking or Disposition. / 3304(a)(5) CRIMINAL MISCHIEF - Intentionally Damages Real Or Personal Property Of Another,2107,6,1,-80.0227871421298,40.4556995199787
293986093,22169487,10,2022-10-19T21:15:00,"2700 Block Chartiers Ave Pittsburgh, PA 15204",N,Crafton Heights,6,SIMPLE ASSAULT,"2701(a)(1) Simple Assault - Intent., Know., Reckless.Cause Bod. Injury",2814,,,,
291706865,22153951,99,2022-09-22T09:18:00,"200 Block S Negley Ave Pittsburgh, PA 15206",N,East Liberty,5,MENTAL 201/302,9498 302 (Mental),1115,,,,
-3554010106,22156785,99,2022-09-27T08:15:00,"S 18th St & Josephine St Pittsburgh, PA 15203",N,South Side Slopes,3,DEAD ON ARRIVAL (DOA),9496 Dead on Arrival (DOA),1706,3,3,-79.9799819027297,40.4248958313202
292147269,22157339,99,2022-09-28T07:35:00,"California Ave & B St Pittsburgh, PA 15212",N,California-Kirkbride,1,FOUND PROPERTY,9489 Found Property,2507,6,1,-80.0201507440084,40.4590626744593
-3574000799,22160790,27,2022-10-04T09:00:00,"6th Ave & William Penn Pl Pittsburgh, PA 15219",Y,Central Business District,2,HIT AND RUN,3743 Accidents Involving Damage to Attended Veh. or Property,201,6,6,-79.9967694960234,40.4411131805075
292280465,22158118,10,2022-09-29T13:08:00,"3100 Block Cordell Pl Pittsburgh, PA 15203",N,Arlington Heights,3,HARRASSMENT,2709 Harassment (Non-Specific),1604,3,3,-79.963452973864,40.4177171713237
292304492,22158185,0,2022-09-29T15:40:00,"3500 Block California Ave Pittsburgh, PA 15212",N,Brighton Heights,1,99,9994 PFA Service,2703,1,1,-80.0402734714646,40.4782614682453
292324061,22158344,14,2022-09-29T21:22:00,"6500 Block Clifford St Pittsburgh, PA 15206",N,Lincoln-Lemington-Belmar,5,CRIM MISCHIEF,3304 Criminal Mischief.,1203,9,2,-79.9038839108881,40.4686783025569
292347481,22156940,6,2022-09-27T12:00:00,"7600 Block Baxter St Pittsburgh, PA 15208",N,Homewood North,5,THEFT,3921(a) Theft by Unlawful Taking or Disposition - Movable item / 4106 Access Device Fraud,1302,9,2,-79.8896211851366,40.4570666399348
292406957,22158811,6,2022-09-30T00:30:00,"400 Block North Shore Dr Pittsburgh, PA 15212",N,North Shore,1,THEFT FROM AUTO,3934 Theft from Vehicle,2205,1,6,-80.0123399020422,40.4462710224948
293806547,22168774,27,2022-10-18T15:00:00,"300 Block Oliver Ave Pittsburgh, PA 15222",N,Central Business District,2,HIT AND RUN,3745 Accidents Involving Damage to Unattended Veh.or Prop.,201,,,,
293835422,22168767,0,2022-10-18T14:57:00,"5400 Block Mere St Pittsburgh, PA 15207",N,Lincoln Place,4,99,9999 9999 - (Misc. Incident): ,3102,5,3,-79.9141625017573,40.369537380917
293854093,22168900,6,2022-10-18T18:33:00,"5500 Block 2nd Ave Pittsburgh, PA 15207",N,Hazelwood,4,THEFT,3921(a) Theft by Unlawful Taking or Disposition - Movable item,1515,5,3,-79.9406010250657,40.4009369843009
292262566,22157956,0,2022-09-29T07:28:00,"4700 Block Mossfield St Pittsburgh, PA 15224",N,Garfield,5,99,9999 9999 - (Misc. Incident): Destruction of injured deer,1016,7,2,-79.9461549376348,40.4669809445842
292276940,22158036,99,2022-09-29T10:48:00,"300 Block Melwood  Ave Pittsburgh, PA 15213",N,West Oakland,4,MISSING PERSONS (18+),9490 Missing Persons (18 and Over),402,6,3,-79.9507528971167,40.4524545869485
292283716,22158052,0,2022-09-29T11:00:00,"Brashear St & S Braddock Ave Pittsburgh, PA 15221",N,Point Breeze,4,99,9999 9999 - (Misc. Incident): Accident ,1406,9,3,-79.8958809140628,40.4453549559162
292671154,22160866,0,2022-10-04T11:38:00,"2900 Block N Charles St Pittsburgh, PA 15214",Y,Perry South,1,99,3503.B1I DEF. TRESPASS ACTUAL COMMUNICATION,2615,6,1,-80.0111836603721,40.4705076955718
-3606000732,22168552,14,2022-10-18T06:00:00,"7300 Block Kelly St Pittsburgh, PA 15208",N,Homewood South,5,CRIM MISCHIEF,3304 Criminal Mischief.,1303,9,2,-79.8948371053259,40.455034841235
292717030,22161068,6,2022-09-30T12:00:00,"1600 Block Smallman St Pittsburgh, PA 15222",N,Strip District,2,THEFT FROM AUTO,3934 Theft from Vehicle,203,7,6,-79.9878583969023,40.4496706792142
292717749,22161081,10,2022-10-04T18:20:00,"800 Block Mt Pleasant Skwy Pittsburgh, PA 15214",Y,Northview Heights,1,SIMPLE ASSAULT,2701 Simple Assault.,2609,1,1,-79.9994763962932,40.4757519574098
-3520012626,22161127,99,2022-10-04T20:36:00,"1400 Block Locust St Pittsburgh, PA 15219",Y,Bluff,2,AIDED CASE,9497 Aided Case,103,6,3,-79.9854587006851,40.4360439740714
292733206,22161177,10,2022-10-04T21:35:00,"2100 Block Koerner Ave Pittsburgh, PA 15214",Y,Perry South,1,RECKLESSLY ENDANGER ANOTH PER,2705 Recklessly Endangering Another Person. / 2718(a)(1) Strangulation - Applying Pressure to the Throat or Neck,2614,6,1,-80.0105823622413,40.4644724553885
292738145,22161270,99,2022-10-05T01:11:00,"300 Block Cedar Ave Pittsburgh, PA 15212",Y,East Allegheny,1,BENCH WARRANT ARREST - NO TIE,9501 Bench Warrant / 627.02(b)(i) Possessing a small amount of marijuana,2304,1,1,-80.0009078039902,40.4508935599436
292759380,22159764,99,2022-10-02T11:14:00,"5100 Block Broad St Pittsburgh, PA 15224",N,Garfield,5,FOUND PROPERTY,9489 Found Property,1017,9,2,-79.9424934567213,40.4664598428219
292760781,22159820,27,2022-10-02T13:22:00,"6800 Block Lyric St Pittsburgh, PA 15206",N,Homewood West,5,HIT AND RUN,3745 Accidents Involving Damage to Unattended Veh.or Prop.,1207,9,2,-79.9033047506445,40.4635188578133
292789498,22161467,6,2022-10-05T12:22:00,"900 Block Freeport Rd Pittsburgh, PA 15215",N,Lincoln-Lemington-Belmar,5,RETSIL THEFT (SHOPLIFTING),"3929(a)(1) Retail Theft; takes possession of, carries away, or transfers displayed merchandise",1201,9,2,-79.8923529450752,40.4861185015656
292150675,22157320,6,2022-09-28T06:00:00,"600 Block Ridge Pl Pittsburgh, PA 15212",N,Allegheny West,1,THEFT FROM AUTO,3934 Theft from Vehicle,2201,,,,
292581654,22160304,11,2022-10-03T11:00:00,"1100 Block Tweed St Pittsburgh, PA 15204",Y,Sheraden,6,THEFT OF SERVICES,"3926(a)(1) Theft of Services; Cable, Gas, Taxi, Bill, Tab, etc.",2022,2,5,-80.063278570002,40.4560027514714
292600750,22160417,0,2022-10-03T14:00:00,"Wilkinsburg Wilkinsburg, PA 15221",N,Outside City,OSC,99,9994 PFA Service,5599,,,-79.8851094141688,40.4439510156414
292614343,22160519,27,2022-10-03T17:30:00,"Coast Ave & Banksville Rd Pittsburgh, PA 15216",N,Beechview,6,HIT AND RUN,3743 Accidents Involving Damage to Attended Veh. or Property,1916,2,5,-80.0320182434077,40.4093649264729
292422295,22158949,4,2022-09-30T22:00:00,"70 Block Wyoming St Pittsburgh, PA 15211",Y,Central Business District,3,AGG-ASSAULT,2702 Aggravated Assault.,1914,2,5,-80.0065798668721,40.428385640795
292422889,22158874,0,2022-09-30T19:48:00,"200 Block Spencer Ave Pittsburgh, PA 15227",N,Carrick,3,99,9999 9999 - (Misc. Incident): Runaway Juv Complaint,2904,,,,
292424925,22159038,99,2022-10-01T00:55:00,"3300 Block Parkview Ave Pittsburgh, PA 15213",N,South Oakland,4,FOUND PROPERTY,9489 Found Property,409,3,3,-79.9525665047687,40.4317256815541
292433349,22159097,0,2022-10-01T03:53:00,"2300 Block Palm Beach Ave Pittsburgh, PA 15216",Y,Beechview,6,99,2718(a)(1) Strangulation - Applying Pressure to the Throat or Neck,1920,4,5,-80.0263370980893,40.4026400352691
292456392,22159219,6,2022-09-30T18:00:00,"300 Block Flowers Ave Pittsburgh, PA 15207",N,Hazelwood,4,THEFT,3921(a) Theft by Unlawful Taking or Disposition - Movable item,1515,5,3,-79.9405634200279,40.4108662860762
-3520012599,22159229,6,2022-10-01T07:00:00,"200 Block Lothrop St Pittsburgh, PA 15213",N,West Oakland,4,THEFT,3921(a) Theft by Unlawful Taking or Disposition - Movable item / 4106 Access Device Fraud,402,8,3,-79.9609286975283,40.4422470230786
292461117,22159285,6,2022-10-01T11:00:00,"5400 Block Aylesboro Ave Pittsburgh, PA 15217",N,Squirrel Hill North,4,THEFT FROM AUTO,3934 Theft from Vehicle,1401,8,3,-79.9335176274877,40.438299703852
-3533068993,22159369,27,2022-10-01T17:20:00,"60 Block S 15th St Pittsburgh, PA 15203",N,South Side Flats,3,HIT AND RUN,3745 Accidents Involving Damage to Unattended Veh.or Prop.,1702,3,3,-79.9836600665735,40.4293134670345
293691927,22168120,27,2022-10-17T13:00:00,"Bingham St & S 14th St Pittsburgh, PA 15203",N,South Side Flats,3,HIT AND RUN,3745 Accidents Involving Damage to Unattended Veh.or Prop.,1702,3,3,-79.9841454048711,40.4294566187914
293692236,22166166,0,2022-10-17T14:00:00,"2000 Block Centre  Ave Pittsburgh, PA 15219",N,Middle Hill,2,99,9994 PFA Service,501,6,3,-79.9799824053927,40.4435889103074
293693625,22168182,0,2022-10-17T14:00:00,"2000 Block Centre Ave Pittsburgh, PA 15219",Y,Middle Hill,2,99,9994 PFA Service,501,6,3,-79.9799824053927,40.4435889103074
293721513,22167111,99,2022-10-14T16:44:00,"100 Block 9th St Pittsburgh, PA 15222",N,Central Business District,2,MISCELLANEOUS INVESTIGATION,9129 Miscellaneous Investigation,201,,,,
293727225,22168396,0,2022-10-17T19:52:00,"2300 Block Gershon St Pittsburgh, PA 15214",N,Spring Hill-City View,1,99,9999 9999 - (Misc. Incident): ,2620,,,,
293727867,22168367,18,2022-10-17T19:47:00,"200 Block East Ohio St Pittsburgh, PA 15212",Y,Allegheny Center,1,STOLEN PROPERTY - OTHER,13(a)(16) Possession of Controlled Substance / 13(a)(31) Marijuana: Possession Small Amount / 627.02(b)(i) Possessing a small amount of marijuana / 1501 Drivers Required to be Licensed.,2204,,,,
293728543,22168866,5,2022-10-17T19:43:00,"900 Block Woodlow St Pittsburgh, PA 15205",N,Crafton Heights,6,BURGLARY,3502 Burglary.,2814,2,5,-80.0523506914023,40.4458191424858
293734387,22168410,17,2022-10-17T20:23:00,Zone 4,N,,4,SEXUAL ABUSE OF CHILDREN,6312 Sexual Abuse of Children. / 3923 Theft by Extortion.,,,,,
293735196,22168377,99,2022-10-17T20:04:00,"Birmingham Brg & E Carson St Pittsburgh, PA 15203",Y,South Side Flats,3,MENTAL 201/302,9498 302 (Mental),1609,3,3,-79.9736110511252,40.4283706493669
293737018,22168428,15,2022-10-17T22:01:00,"20 Block Rosselle Dr Pittsburgh, PA 15207",Y,Glen Hazel,4,FIREARMS NOT TO BE CARRIED WO LICENSE,6106 Firearms not to be Carried without a License. / 627.02(b)(i) Possessing a small amount of marijuana / 4524 Windshield Obstructions and Wipers.,1504,5,3,-79.9317591866409,40.4067913276581
293738192,22168442,0,2022-10-17T23:20:00,"900 Block Rivermont Dr Pittsburgh, PA 15207",N,Glen Hazel,4,99,9994 PFA Service,1504,5,3,-79.9276670419266,40.4069289731047
293739093,22168361,21,2022-10-17T19:39:00,"Forward Ave & Murray Ave Pittsburgh, PA 15217",Y,Squirrel Hill South,4,DUI - GENERAL IMPAIRMENT,3802(c) DUI - Highest Rate of Alcohol - BAC >= .16% / 3802(a)(1) DUI - General Impairment / 3361  Driving Vehicle at Safe Speed. / 1311 Registration Card to be Signed and Exhibited on Demand. / 3714 Careless Driving / 1786 Required Financial Responsibility.,1408,5,3,-79.9234886138882,40.4297458989281
292257612,22157991,0,2022-09-29T10:00:00,"1200 Block Western Ave Pittsburgh, PA 15233",N,Chateau,1,99,9999 9999 - (Misc. Incident): ,2108,6,1,-80.0219684615574,40.4512177173984
293273897,22165320,99,2022-10-10T16:00:00,"1200 Block Western Ave Pittsburgh, PA 15233",N,Chateau,1,DRUG INVESTIGATION,9124 Drug Investigation,2108,6,1,-80.0219684615574,40.4512177173984
293274789,22165321,99,2022-10-10T16:00:00,"1200 Block Western Ave Pittsburgh, PA 15233",N,Chateau,1,DRUG INVESTIGATION,9124 Drug Investigation,2108,6,1,-80.0219684615574,40.4512177173984
292619844,22160611,10,2022-10-03T21:01:00,"S Millvale Ave & Comrie Way Pittsburgh, PA 15224",N,Bloomfield,5,SIMPLE ASSAULT,"2701(a)(1) Simple Assault - Intent., Know., Reckless.Cause Bod. Injury / 901 Criminal Attempt",809,7,2,-79.9452809445325,40.4649042199995
292661868,22160851,99,2022-10-04T10:50:00,"7100 Block Race St Pittsburgh, PA 15208",N,Homewood North,5,MISSING PERSONS (18+),9490 Missing Persons (18 and Over),1302,9,2,-79.8979386679952,40.4593342175381
-3253313025,22160840,0,2022-10-04T10:39:00,"10 Block Lelia St Pittsburgh, PA 15211",N,Mount Washington,3,99,9999 9999 - (Misc. Incident): ,1915,4,5,-80.0114842749043,40.4216754132561
292673451,22160896,9,2022-10-04T12:05:00,"Art Rooney Ave & General Robinson St W Pittsburgh, PA 15212",N,North Shore,1,FORGERY,4101 Forgery. / 3922 Theft by Deception.,2205,1,6,-80.0139787806155,40.4465992914668
292688957,22160902,0,2022-10-04T12:38:00,"3400 Block W Prospect Blvd Pittsburgh, PA 15205",N,Fairywood,6,99,9093 Indirect Criminal Contempt,2808,,,,
-3253313036,22160381,27,2022-10-03T13:20:00,"2100 Block Sarah St Pittsburgh, PA 15203",N,South Side Flats,3,HIT AND RUN,3745 Accidents Involving Damage to Unattended Veh.or Prop.,1609,3,3,-79.9761229323827,40.4274305580603
292692757,22160989,0,2022-10-04T15:31:00,"200 Block Southern Ave Pittsburgh, PA 15211",N,Mount Washington,3,99,9994 PFA Service,1914,2,5,-80.0108639068144,40.4243705777301
294063361,22169793,0,2022-10-20T13:43:00,"600 Block 1st Ave Pittsburgh, PA 15219",N,Central Business District,2,99,9994 PFA Service,201,6,6,-79.9960409452176,40.4350395659105
294063544,22169801,27,2022-10-20T15:00:00,"1700 Block Sidney St Pittsburgh, PA 15203",N,South Side Flats,3,HIT AND RUN,3745 Accidents Involving Damage to Unattended Veh.or Prop.,1702,3,3,-79.9819199883924,40.4297625796748
294081697,22169976,27,2022-10-20T20:00:00,"1900 Block Murray Ave Pittsburgh, PA 15217",N,Squirrel Hill South,4,HIT AND RUN,3745 Accidents Involving Damage to Unattended Veh.or Prop.,1408,5,3,-79.9230679471987,40.4358796223012
294084390,22170002,27,2022-10-20T20:34:00,"Baum Blvd & S Graham St Pittsburgh, PA 15232",N,Bloomfield,5,HIT AND RUN,3743 Accidents Involving Damage to Attended Veh. or Property,806,7,2,-79.9369512168234,40.4574245727162
294098339,22170113,27,2022-10-21T03:49:00,"Middle St & Emlin St Pittsburgh, PA 15212",N,East Allegheny,1,HIT AND RUN,3745 Accidents Involving Damage to Unattended Veh.or Prop.,2304,1,1,-79.9992615016488,40.4541714912385
294118481,22170098,0,2022-10-21T02:08:00,"S 16th St & Roland St Pittsburgh, PA 15203",Y,South Side Flats,3,99,601.16 Public Urination And Defecation,1702,3,3,-79.982839763162,40.4285489478918
293263312,22165278,6,2022-10-12T07:00:00,"100 Block S Atlantic Ave Pittsburgh, PA 15224",N,Bloomfield,5,THEFT,3921(a) Theft by Unlawful Taking or Disposition - Movable item,809,1,1,-80.0051923989784,40.4510114242591
293906883,22169084,6,2022-10-19T05:20:00,"1600 Block Chelton Ave Pittsburgh, PA 15226",N,Brookline,6,THEFT,3921 Theft by Unlawful Taking or Disposition.,1918,4,5,-80.0115566918663,40.3875936701326
294082160,22169832,99,2022-10-20T16:09:00,"6300 Block Penn Ave Pittsburgh, PA 15206",N,East Liberty,5,NON-VIOLENT DOMESTIC,9012 Non-Violent Domestic,1115,,,,
-3594055107,22158797,6,2022-09-30T17:00:00,"2100 Block Brownsville Rd Pittsburgh, PA 15210",N,Carrick,3,THEFT,3921(a) Theft by Unlawful Taking or Disposition - Movable item,2902,4,3,-79.9865235535491,40.3931998334253
292412640,22158877,6,2022-09-29T23:30:00,"Filbert St & Ellsworth Ave Pittsburgh, PA 15232",N,Shadyside,4,THEFT,3921(a) Theft by Unlawful Taking or Disposition - Movable item,703,8,2,-79.9343255582264,40.4539087659225
292415534,22158904,27,2022-09-30T20:25:00,"900 Block Liberty Ave Pittsburgh, PA 15222",N,Central Business District,2,HIT AND RUN,3743 Accidents Involving Damage to Attended Veh. or Property,201,6,6,-79.9979394801918,40.4429453058994
292419965,22158805,6,2022-09-30T17:07:00,"Baum Blvd & Commerce Way E Pittsburgh, PA 15224",N,Crawford-Roberts,5,THEFT,3921(a) Theft by Unlawful Taking or Disposition - Movable item,305,9,2,-79.9255322239287,40.4605806330419
292420768,22158938,3,2022-09-30T21:32:00,"400 Block W Prospect Ave Pittsburgh, PA 15205",Y,Fairywood,6,ROBBERY,3701 Robbery.,2808,2,5,-80.0804620597561,40.4470553315285
-3545169448,22159147,29,2022-10-01T09:04:00,"Sinton Ave & Spokane Ave Pittsburgh, PA 15210",N,Carrick,3,RUNAWAYS - JUVENILE,029 Missing Juvenile,2904,4,3,-79.9893958559828,40.3881761714573
292461731,22156189,6,2022-09-26T09:05:00,"3800 Block Perrysville Ave Pittsburgh, PA 15214",N,Perry North,1,THEFT,3921 Theft by Unlawful Taking or Disposition. / 4106 Access Device Fraud,2602,1,1,-80.0160242160888,40.4875592947365
292463511,22159330,26,2022-10-01T15:54:00,"100 Block 39th St Pittsburgh, PA 15201",N,Lower Lawrenceville,2,CRIMINAL TRESPASS,3503 Criminal Trespass,603,,,,
292467821,22159378,27,2022-10-01T17:44:00,"Ley St & Cowley St Pittsburgh, PA 15212",N,Troy Hill,1,HIT AND RUN,3743 Accidents Involving Damage to Attended Veh. or Property,2406,1,1,-79.981914357071,40.4656937376157
292468487,22159399,0,2022-10-01T18:40:00,"70 Block Bigelow St Pittsburgh, PA 15207",N,Hazelwood,4,99,9999 9999 - (Misc. Incident): ,1501,5,3,-79.9486409039104,40.4233712224696
293887460,22169116,6,2022-10-19T08:24:00,"1800 Block Termon Ave Pittsburgh, PA 15212",N,Brighton Heights,1,THEFT,3921(a) Theft by Unlawful Taking or Disposition - Movable item,2701,1,1,-80.0429498623801,40.482240412395
293900827,22169129,27,2022-10-19T08:56:00,"Liberty Tunl Pittsburgh, PA 15203",Y,South Side Slopes,3,HIT AND RUN,3743 Accidents Involving Damage to Attended Veh. or Property,1706,,,,
293950615,22169265,0,2022-10-19T12:02:00,"4200 Block Upview Ter Pittsburgh, PA 15201",Y,Stanton Heights,5,99,9093 Indirect Criminal Contempt,1018,9,2,-79.9457110141775,40.4784823199507
293934565,22169268,14,2022-10-19T14:00:00,"S 12th St & Bedford Sq Pittsburgh, PA 15203",N,South Side Flats,3,CRIMINAL MISCHIEF,3304(a)(5) CRIMINAL MISCHIEF - Intentionally Damages Real Or Personal Property Of Another,1702,3,3,-79.9864423751344,40.4291581830876
293934604,22169248,27,2022-10-19T13:15:00,"200 Block Johnston Ave Pittsburgh, PA 15207",N,Hazelwood,4,HIT AND RUN,3745 Accidents Involving Damage to Unattended Veh.or Prop. / 1786 Required Financial Responsibility.,1515,5,3,-79.9417473406889,40.406195916186
293965596,22169360,27,2022-10-19T16:46:00,"4300 Block Butler St Pittsburgh, PA 15201",N,Central Lawrenceville,2,HIT AND RUN,3745 Accidents Involving Damage to Unattended Veh.or Prop. / 1785 Proof of Financial Responsibility Following Accident.,902,7,2,-79.9600458283935,40.4705854885513
293972274,22169315,99,2022-10-19T15:40:00,"400 Block Turrett St Pittsburgh, PA 15206",N,Homewood North,5,NON-VIOLENT DOMESTIC,9012 Non-Violent Domestic,1302,9,2,-79.9103961938101,40.4616391605572
293979602,22169448,18,2022-10-19T19:51:00,"500 Block East Ohio St Pittsburgh, PA 15212",Y,East Allegheny,1,STOLEN PROPERTY - OTHER,13(a)(16) Possession of Controlled Substance / 13(a)(30) Possession w/ Intent to Del. Controlled Substance,2304,1,1,-80.0005722739975,40.4535002610431
291753928,22154179,99,2022-09-22T16:19:00,"100 Block Marsden St Pittsburgh, PA 15207",N,Hazelwood,4,NON-VIOLENT DOMESTIC,9012 Non-Violent Domestic,1515,,,,
-3415037701,22160327,10,2022-10-03T11:00:00,"6400 Block Station St Pittsburgh, PA 15206",Y,East Liberty,5,HARRASSMENT,2709(a)(3) Harassment No Legitimate Purpose / 3304(a)(5) CRIMINAL MISCHIEF - Intentionally Damages Real Or Personal Property Of Another,1115,9,2,-79.9187492267927,40.4610531897644
292816602,22161722,27,2022-10-04T19:41:00,"3900 Block California Ave Pittsburgh, PA 15212",N,Brighton Heights,1,HIT AND RUN,3745 Accidents Involving Damage to Unattended Veh.or Prop.,2701,1,1,-80.0419777670235,40.4853326049269
-3633023787,22161649,0,2022-10-05T18:00:00,"1900 Block Pioneer Ave Pittsburgh, PA 15226",N,Brookline,6,99,9999 9999 - (Misc. Incident): 9999 - (Misc. Incident): ,1917,4,5,-80.0160585948811,40.4040374887942
292845325,22161896,6,2022-10-06T06:30:00,"Harcum Way & S 25th St Pittsburgh, PA 15203",N,South Side Flats,3,THEFT FROM AUTO,3934 Theft from Vehicle,1609,3,3,-79.9708110382105,40.4257225697024
292845570,22161897,99,2022-10-01T22:00:00,"600 Block Penn Ave Pittsburgh, PA 15222",N,Central Business District,2,FOUND PROPERTY,9489 Found Property,201,6,6,-80.0017928321911,40.4425929172081
292870367,22162034,99,2022-10-06T12:10:00,"800 Block E Warrington Ave Pittsburgh, PA 15210",N,Allentown,3,DRUG INVESTIGATION,9124 Drug Investigation,1803,3,5,-79.9937050598573,40.4218022561637
292882637,22162063,99,2022-10-06T13:00:00,"1500 Block Brighton Rd Pittsburgh, PA 15212",N,Central North Side,1,FOUND PROPERTY,9489 Found Property,2503,6,1,-80.0165685056208,40.4568744092444
292894842,22159561,15,2022-10-02T00:25:00,"Coal St & Grand Ave Wilkinsburg, PA 15221",Y,Central Business District,OSC,FIREARMS NOT TO BE CARRIED WO LICENSE,"6106 Firearms not to be Carried without a License. / 13(a)(31) Marijuana: Possession Small Amount / 13(a)(32) Paraphernalia - Use or Possession / 13(a)(16) Possession of Controlled Substance / 3714 Careless Driving / 3361  Driving Vehicle at Safe Speed. / 1301 Registration and Certificate of Title Required. / 6105(a)(1) Persons not to possess, use, manufacture, control, sell or transfer firearms: Former Convict enumerated in subsection (b)",5599,,,-79.8765775877902,40.4493176767921
292290385,22158088,99,2022-09-29T12:15:00,"1600 Block Hybla St Pittsburgh, PA 15212",N,Brighton Heights,1,MISSING PERSONS (18+),9490 Missing Persons (18 and Over),2703,,,,
292473194,22159483,99,2022-10-01T21:28:00,"200 Block S Braddock Ave Pittsburgh, PA 15221",N,Point Breeze,4,MISSING PERSONS (18+),9490 Missing Persons (18 and Over),1406,,,-79.8614462641364,40.4232148473678
293112378,22164256,6,2022-10-10T11:59:00,"1600 Block Sunrise Ave Pittsburgh, PA 15221",N,East Hills,5,THEFT,3921 Theft by Unlawful Taking or Disposition.,1306,,,,
293164470,22159073,3,2022-10-01T02:47:00,"900 Block 2nd Ave Pittsburgh, PA 15219",Y,North Oakland,2,ROBBERY,"3701 Robbery. / 3929 Retail Theft. / 2701(a)(1) Simple Assault - Intent., Know., Reckless.Cause Bod. Injury",103,6,6,-79.9931846836602,40.4350718181921
-3533069010,22159376,27,2022-10-01T17:36:00,"Saw Mill Run Blvd & Woodruff St Pittsburgh, PA 15220",N,Duquesne Heights,3,HIT AND RUN,3743 Accidents Involving Damage to Attended Veh. or Property,1911,2,5,-80.0199299522882,40.4258728267517
292469944,22159420,0,2022-10-01T19:30:00,"200 Block Sagamore St Pittsburgh, PA 15204",N,Esplen,6,99,9999 9999 - (Misc. Incident): ,2017,2,5,-80.0532849346253,40.4637122503447
